,id,mol_weight,formula,P,O,I,H,Se,Mo,X,Mg,Br,As,F,R,N,C,Zn,S,Cl,Co,polymer
2744,C17751,357.3127,C15H19NO9,0,9,0,19,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0
2745,C19730,296.4034,C20H24O2,0,2,0,24,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
2746,C00921,314.2994,C14H14N6O3,0,3,0,14,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0
2747,C00177,26.0174,CN,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2748,C00218,31.0571,CH5N,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2749,C00409,48.1075,CH4S,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2750,C00519,109.1475,C2H7NO2S,0,2,0,7,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0
2751,C00581,117.1066,C3H7N3O2,0,2,0,7,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
2752,C00706,,NH2R,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2753,C01709,302.2788,C16H14O6,0,6,0,14,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
2754,C02022,120.1039,C4H8O4,0,4,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
2755,C03328,176.1672,C7H12O5,0,5,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
2756,C03804,136.1695,C4H8O3S,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
2757,C05239,83.0919,C3H5N3,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
2758,C06056,135.1186,C4H9NO4,0,4,0,9,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
2759,C06388,,C4H5O4R,0,4,0,5,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
2760,C06547,28.0532,C2H4,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2761,C15573,,C14H22NO12R,0,12,0,22,0,0,0,0,0,0,0,1,1,14,0,0,0,0,0
2762,C16671,125.1253,C6H7NO2,0,2,0,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0
2763,C17238,270.3049,C11H14N2O4S,0,4,0,14,0,0,0,0,0,0,0,0,2,11,0,1,0,0,0
2764,C20253,87.0773,C3H5NO2,0,2,0,5,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
2765,C20353,324.3276,C12H24N2O8,0,8,0,24,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0
2766,C20692,376.5741,C27H36O,0,1,0,36,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
2767,C04844,348.3903,C19H24O6,0,6,0,24,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
2768,C20965,316.3104,C12H20N4O6,0,6,0,20,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0
2769,C01175,386.3506,C17H22O10,0,10,0,22,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
2770,C05208,,C28H50NO7PR,1,7,0,50,0,0,0,0,0,0,0,1,1,28,0,0,0,0,0
2771,C14107,222.1941,C11H10O5,0,5,0,10,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
2772,C05749,,C6H11OSR,0,1,0,11,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0
2773,C19673,,C4H5O3SR,0,3,0,5,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0
2774,C01029,187.2825,C9H21N3O,0,1,0,21,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0
2775,C07446,123.1094,C6H5NO2,0,2,0,5,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0
2776,C05554,564.5402,C22H36N4O13,0,13,0,36,0,0,0,0,0,0,0,0,4,22,0,0,0,0,0
2777,C07026,346.2365,C10H15N6O6P,1,6,0,15,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
2778,C00844,295.2879,C14H17NO6,0,6,0,17,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0
2779,C10502,284.2635,C16H12O5,0,5,0,12,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
2780,C11993,296.4018,C17H28O4,0,4,0,28,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
2781,C14536,284.2635,C16H12O5,0,5,0,12,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
2782,C00933,310.3655,C16H24NO5,0,5,0,24,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0
2783,C00979,147.1293,C5H9NO4,0,4,0,9,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
2784,C00459,482.1683,C10H17N2O14P3,3,14,0,17,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0
2785,C01239,220.223,C8H16N2O5,0,5,0,16,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0
2786,C20962,300.311,C12H20N4O5,0,5,0,20,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0
2787,C03719,167.2282,C8H9NOS,0,1,0,9,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0
2788,C20380,320.3371,C17H20O6,0,6,0,20,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
2789,C00009,97.9952,H3PO4,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2790,C02029,221.259,C10H15N5O,0,1,0,15,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0
2791,C14086,206.1947,C11H10O4,0,4,0,10,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
2792,C01518,342.2965,C12H22O11,0,11,0,22,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
2793,C20190,996.3468,C20H30N10O25P6,6,25,0,30,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0
2794,C01416,303.3529,C17H21NO4,0,4,0,21,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0
2795,C02446,,C3H5O3R,0,3,0,5,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
2796,C16562,491.6484,C20H41N7O5S,0,5,0,41,0,0,0,0,0,0,0,0,7,20,0,1,0,0,0
2797,C02768,,C3H9O6P(C3H7O5P)n,1,5,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
2798,C20914,190.1971,C7H14N2O4,0,4,0,14,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0
2799,C20917,289.2851,C11H19N3O6,0,6,0,19,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0
2800,C21072,1003.927,C37H64N7O17P3S,3,17,0,64,0,0,0,0,0,0,0,0,7,37,0,1,0,0,0
2801,C21001,234.2048,C12H10O5,0,5,0,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
2802,C08606,600.8702,C40H56O4,0,4,0,56,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
2803,C08614,600.8702,C40H56O4,0,4,0,56,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
2804,C04218,819.1141,C44H82O13,0,13,0,82,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
2805,C17741,985.7395,C33H46N7O20P3S,3,20,0,46,0,0,0,0,0,0,0,0,7,33,0,1,0,0,0
2806,C00183,117.1463,C5H11NO2,0,2,0,11,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
2807,C01589,68.0773,C3H4N2,0,0,0,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
2808,C02512,114.1026,C4H6N2O2,0,2,0,6,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
2809,C04083,203.2437,C10H13N5,0,0,0,13,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0
2810,C05942,111.0987,C5H5NO2,0,2,0,5,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
2811,C07447,74.0818,C2H6N2O,0,1,0,6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
2812,C10023,270.2369,C15H10O5,0,5,0,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
2813,C04683,,C17H28NO14R,0,14,0,28,0,0,0,0,0,0,0,1,1,17,0,0,0,0,0
2814,C20722,,C11H18N2O8R2,0,8,0,18,0,0,0,0,0,0,0,2,2,11,0,0,0,0,0
2815,C01474,240.2109,C14H8O4,0,4,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
2816,C01495,238.2381,C15H10O3,0,3,0,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
2817,C06645,382.0229,C14H8Cl4O4,0,4,0,8,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0
2818,C20963,314.3376,C13H22N4O5,0,5,0,22,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0
2819,C20964,314.3376,C13H22N4O5,0,5,0,22,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0
2820,C04185,193.1562,C9H7NO4,0,4,0,7,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0
2821,C05578,149.1467,C8H7NO2,0,2,0,7,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0
2822,C08543,390.3441,C18H18N2O8,0,8,0,18,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0
2823,C01799,117.1463,C5H11NO2,0,2,0,11,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
2824,C03789,339.2975,C6H13NO11S2,0,11,0,13,0,0,0,0,0,0,0,0,1,6,0,2,0,0,0
2825,C20406,360.4871,C22H32O4,0,4,0,32,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
2826,C03483,587.1609,C10H17N5O16P4,4,16,0,17,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0
2827,C16566,448.5806,C18H36N6O5S,0,5,0,36,0,0,0,0,0,0,0,0,6,18,0,1,0,0,0
2828,C20957,218.2072,C8H14N2O5,0,5,0,14,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0
2829,C20814,553.6036,C20H31N3O11S2,0,11,0,31,0,0,0,0,0,0,0,0,3,20,0,2,0,0,0
2830,C00542,222.2621,C7H14N2O4S,0,4,0,14,0,0,0,0,0,0,0,0,2,7,0,1,0,0,0
2831,C02954,216.2575,C8H12N2O3S,0,3,0,12,0,0,0,0,0,0,0,0,2,8,0,1,0,0,0
2832,C21453,179.1727,C9H9NO3,0,3,0,9,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0
2833,C02980,224.2115,C14H8O3,0,3,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
2834,C20559,305.221,C11H16NO7P,1,7,0,16,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0
2835,C04248,,C17H28NO17PR2,1,17,0,28,0,0,0,0,0,0,0,2,1,17,0,0,0,0,0
2836,C00627,249.1577,C8H12NO6P,1,6,0,12,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0
2837,C15810,,C4H7N2O3R,0,3,0,7,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0
2838,C19728,416.638,C30H40O,0,1,0,40,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
2839,C00454,,C5H11O10P2R,2,10,0,11,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0
2840,C01879,129.114,C5H7NO3,0,3,0,7,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0
2841,C02632,88.1051,C4H8O2,0,2,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
