id,mol_weight,formula
C16393,213.1476,C7H7N3O5
C16583,220.1767,C8H12O7
C16591,209.1986,C10H11NO4
C16597,220.1767,C8H12O7
C17587,657.6652,C25H47N5O15
C20757,,C5H6N2O4SR2
C20803,186.2066,C12H10O2
C21261,658.6499,C25H46N4O16
C21344,,C9H9O3SR
C00064,146.1445,C5H10N2O3
C00108,137.136,C7H7NO2
C00147,135.1267,C5H5N5
C00156,138.1207,C7H6O3
C00483,137.179,C8H11NO
C00506,169.1564,C3H7NO5S
C00587,138.1207,C7H6O3
C00815,148.114,C5H8O5
C01035,145.1597,C5H11N3O2
C01087,148.114,C5H8O5
C01181,146.2074,C7H16NO2
C01186,146.1876,C6H14N2O2
C02370,156.5664,C7H5ClO2
C02371,140.1118,C7H5FO2
C02505,135.1632,C8H9NO
C02798,168.042,C3H5O6P
C03618,147.1293,C5H9NO4
C04114,143.1836,C7H13NO2
C05080,612.6243,C31H36N2O11
C05161,146.1876,C6H14N2O2
C06104,146.1412,C6H10O4
C06328,160.5551,C6H5ClO3
C06597,217.908,C6H4Cl4
C06598,199.4623,C6H5Cl3O
C16272,146.1412,C6H10O4
C17211,162.2068,C6H10O3S
C17948,166.0691,C4H7O5P
C20851,324.455,C19H32O4
C18063,578.6576,C34H34N4O5
C19725,662.3891,C19H28N4O18P2
C04804,1122.8679,C38H60N8O27P2
C00171,,C5H10O7PR
C00679,192.1235,C6H8O7
C00788,183.2044,C9H13NO3
C01197,180.1574,C9H8O4
C01251,206.1501,C7H10O7
C01481,180.1574,C9H8O4
C02225,206.1501,C7H10O7
C02499,170.2072,C12H10O
C02666,178.1846,C10H10O3
C02871,,C5H6N2O4R2
C03023,,C6H10N2O2SR2
C03203,188.1794,C11H8O3
C03306,,C5H6N2O4R2
C03474,190.1555,C9H6N2O3
C04002,188.1348,C7H8O6
C04225,188.1348,C7H8O6
C04259,183.2077,C8H13N3O2
C04599,173.2542,C12H15N
C04604,197.1449,C8H7NO5
C04619,,C10H19O2SR
C05313,576.8488,C38H56O4
C05580,184.1461,C8H8O5
C05634,175.184,C10H9NO2
C07130,180.164,C7H8N4O2
C07480,180.164,C7H8N4O2
C07481,194.1906,C8H10N4O2
C11700,544.5901,C29H36O10
C11821,184.1097,C5H4N4O4
C13747,180.164,C7H8N4O2
C14040,173.1681,C10H7NO2
C16394,197.1482,C7H7N3O4
C18241,279.8897,C6H2Cl4O4
C20377,,C8H13O4SR
C21085,182.1733,C9H10O4
C21343,,C8H7O3SR
C21375,,C8H8NO2SR
C21569,176.172,C9H8N2O2
C20734,,C27H44N4O18R2
C01288,,C19H30NO18PR2
C04630,590.3695,C17H28N4O15P2
C04702,1149.9363,C40H65N9O26P2
C20638,588.357,C16H26N6O14P2
C21606,,C17H27O18PR2
C12400,334.3222,C20H14O5
C11478,,C10H16N3O8PS(C5H8O6PR)n(C5H8O6PR)n
C00073,149.2113,C5H11NO2S
C00149,134.0874,C4H6O5
C00152,132.1179,C4H8N2O3
C00153,122.1246,C6H6N2O
C00179,130.1915,C5H14N4
C00180,122.1213,C7H6O2
C00407,131.1729,C6H13NO2
C00430,131.1299,C5H9NO3
C00490,130.0987,C5H6O4
C00606,153.157,C3H7NO4S
C00802,132.0749,C3H4N2O4
C00902,130.1418,C6H10O3
C01732,130.0987,C5H6O4
C02214,130.0987,C5H6O4
C02378,131.1729,C6H13NO2
C02714,130.1882,C6H14N2O
C03264,132.1577,C6H12O3
C03341,131.1299,C5H9NO3
C05127,125.1716,C6H11N3
C06381,132.1212,C3H8N4O2
C06554,129.0742,C3H3N3O3
C06560,145.5504,C3H4ClN5
C08733,127.1047,C3H5N5O
C08734,128.0895,C3H4N4O2
C09822,128.169,C7H12O2
C11949,877.6878,C28H46N7O17P3S
C19778,129.1603,C5H11N3O
C00198,178.14,C6H10O6
C00404,,H4P2O7(HPO3)n
C00417,174.1082,C6H6O6
C00811,164.158,C9H8O3
C00944,190.1507,C7H10O6
C01078,,C6H8N2O2R2
C01161,168.1467,C8H8O4
C01540,685.69,C25H43N13O10
C01946,687.8583,C35H61NO12
C02236,202.1845,C7H6O5S
C02693,174.1992,C10H10N2O
C03063,172.1354,C7H8O5
C03298,169.1811,C7H11N3O2
C03342,194.1394,C6H10O7
C03356,216.0832,C4H9O8P
C03722,167.1189,C7H5NO4
C03752,195.1705,C6H13NO6
C03771,173.1698,C6H11N3O3
C03871,189.1659,C7H11NO5
C03972,171.1507,C7H9NO4
C04314,162.1852,C10H10O2
C04575,192.1235,C6H8O7
C04773,183.1614,C8H9NO4
C05565,172.1387,C6H8N2O4
C05577,168.1467,C8H8O4
C05600,172.1354,C7H8O5
C06205,162.1852,C10H10O2
C08304,174.2423,C11H14N2
C10453,164.2011,C10H12O2
C10469,164.2011,C10H12O2
C11402,168.2328,C10H16O2
C11403,168.2328,C10H16O2
C11439,,C12H17N4O6SR3
C11937,168.2328,C10H16O2
C12108,171.1507,C7H9NO4
C12427,543.5193,C27H29NO11
C12621,164.158,C9H8O3
C12833,245.4446,C6H3Cl3O4
C14090,156.1806,C11H8O
C14096,166.1308,C8H6O4
C14099,156.1806,C11H8O
C16353,166.1374,C6H6N4O2
C16358,166.1374,C6H6N4O2
C16396,167.1653,C7H9N3O2
C18027,170.2487,C10H18O2
C18308,225.0261,C7H6Cl2O4
C19567,163.1733,C9H9NO2
C20320,166.217,C10H14O2
C20602,172.1851,C6H12N4O2
C21247,191.1818,C7H13NO5
C01530,284.4772,C18H36O2
C07027,509.4097,C19H24N7O8P
C11925,547.3448,C16H27N3O14P2
C19613,294.429,C18H30O3
C04793,316.3915,C19H24O4
C18348,320.251,C15H12O8
C00167,580.2853,C15H22N2O18P2
C03034,578.3125,C16H24N2O17P2
C21464,1487.7058,C74H125N2O22P3
C04834,266.3758,C16H26O3
C16505,284.3911,C16H28O4
C00004,665.441,C21H29N7O14P2
C00230,154.1201,C7H6O4
C00337,158.1121,C5H6N2O4
C00385,152.1109,C5H4N4O2
C00438,176.1274,C5H8N2O5
C00499,176.1307,C4H8N4O4
C00544,168.1467,C8H8O4
C01221,663.5698,C21H42N7O15P
C01680,180.1559,C6H12O6
C01772,164.158,C9H8O3
C01918,,C19H37N5O7(R1)(R2)
C02442,151.2056,C9H13NO
C02504,176.1672,C7H12O5
C02576,150.2176,C10H14O
C02631,158.1519,C7H10O4
C03092,170.2487,C10H18O2
C03680,156.1393,C6H8N2O3
C03985,154.2493,C10H18O
C04178,276.9128,C7H3Br2NO
C04287,160.1247,C6H8O5
C04435,152.2334,C10H16O
C04677,338.2112,C9H15N4O8P
C04706,174.5386,C6H3ClO4
C05608,148.1586,C9H8O2
C05629,150.1745,C9H10O2
C05852,152.1473,C8H8O3
C05980,,C13H18O17P2R4
C06330,161.1574,C9H7NO2
C06338,145.158,C9H7NO
C06577,148.2017,C10H12O
C06596,254.3689,C6H5Cl5
C06677,172.2016,C7H8O3S
C06760,156.136,C7H8O4
C06802,645.6048,C25H43NO18
C07271,152.2334,C10H16O
C11129,147.1308,C8H5NO2
C11130,149.1467,C8H7NO2
C11939,150.2176,C10H14O
C14082,142.1971,C11H10
C14108,152.1473,C8H8O3
C14789,159.1846,C10H9NO
C15537,504.6124,C28H40O8
C18277,316.3069,C20H12O4
C20373,,C6H9O4SR
C21536,,C5H11NO3S(CH2)n
C21601,146.1891,C9H10N2
C04426,687.4169,C17H27N3O20P2S
C04909,,C22H36O19R2
C00122,116.0722,C4H4O4
C00141,116.1152,C5H8O3
C00388,111.1451,C5H9N3
C00397,467.5145,C18H37N5O9
C00431,117.1463,C5H11NO2
C00441,117.1033,C4H7NO3
C00683,867.6069,C25H40N7O19P3S
C00845,861.6023,C26H38N7O18P3S
C01209,,C3H3O3SR
C04724,1397.6847,C73H122O21P2
C05689,182.0798,C4H9NO2Se
C05998,867.6499,C26H44N7O18P3S
C21399,116.1583,C6H12O2
C08362,254.4082,C16H30O2
C06650,386.4851,C14H9Cl5O2
C00550,,C24H49N2O6PR
C00908,449.5423,C19H39N5O7
C20622,1495.7879,C77H128N2O22P2
C20625,1641.9291,C83H138N2O26P2
C04881,1333.6473,C71H118N2O17P2
C00051,307.3235,C10H17N3O6S
C00118,170.0578,C3H7O6P
C00413,581.5741,C21H39N7O12
C00502,166.1293,C5H10O6
C00521,136.234,C10H16
C00540,897.6775,C30H42N7O17P3S
C00588,184.1507,C5H15NO4P
C00628,154.1201,C7H6O4
C00650,149.1467,C8H7NO2
C00682,142.1094,C6H6O4
C00805,138.1207,C7H6O3
C00829,128.1705,C10H8
C00870,139.1088,C6H5NO3
C00956,161.1558,C6H11NO4
C01053,146.1412,C6H10O4
C01756,152.1771,C5H4N4S
C02213,152.2334,C10H16O
C02735,137.179,C8H11NO
C02759,152.2334,C10H16O
C02930,144.1253,C6H8O4
C03079,163.1287,C5H9NO5
C03572,176.5545,C6H5ClO4
C03766,133.1473,C8H7NO
C05281,142.1127,C5H6N2O3
C05593,152.1473,C8H8O3
C06074,136.234,C10H16
C06182,141.2108,C8H15NO
C06231,142.1558,C6H10N2O2
C06306,136.234,C10H16
C06575,134.2182,C10H14
C06644,350.0241,C14H8Cl4O2
C07098,197.4464,C6H3Cl3O
C07587,160.1026,C7H5O3.
C10428,148.2017,C10H12O
C10452,148.2017,C10H12O
C11174,740.0152,C6H19O27P7
C12641,843.7144,C39H39O21
C14087,136.1479,C8H8O2
C15512,134.1751,C9H10O
C16399,153.1817,C7H11N3O
C17213,163.2379,C6H13NO2S
C18049,,C5H6NO3R
C20299,415.4364,C22H25NO7
C21166,136.1479,C8H8O2
C19854,1589.8082,C79H130O28P2
C06717,486.4913,C17H30N2O12S
C15808,442.6737,C29H46O3
C04623,354.4863,C14H9Cl5
C05761,,C14H27OSR
C19875,2066.237,C92H166N2O44P2
C21587,386.4184,C21H24NO6
C00097,121.1582,C3H7NO2S
C00245,125.1469,C2H7NO3S
C00383,104.0615,C3H4O4
C00803,102.1317,C5H10O2
C00972,,C3H3O3R
C00989,104.1045,C4H8O3
C01010,104.0648,C2H4N2O3
C01188,104.1045,C4H8O3
C01672,102.1781,C5H14N2
C02723,102.1781,C5H14N2
C08276,120.1701,C4H8O2S
C06134,,C61H103N4O34R
C06689,1449.2536,C66H75Cl2N9O24
C20720,1306.07,C59H62Cl2N8O22
C00046,,C10H18O13P2R2(C5H8O6PR)n
C00066,,C10H17O10PR2(C5H8O6PR)n
C00253,123.1094,C6H5NO2
C00433,130.0987,C5H6O4
C00450,127.1412,C6H9NO2
C00463,117.1479,C8H7N
C00671,130.1418,C6H10O3
C00727,124.1372,C7H8O2
C00813,128.0862,C4H4N2O3
C00906,128.1292,C5H8N2O2
C01149,130.208,C7H16NO
C01183,137.179,C8H11NO
C01204,660.0353,C6H18O24P6
C01210,155.0896,C3H10NO4P
C01228,603.1603,C10H17N5O17P4
C01454,136.1479,C8H8O2
C01688,527.5201,C20H37N3O13
C02625,163.0014,C6H4Cl2O
C02946,145.1564,C6H11NO3
C03239,145.1564,C6H11NO3
C03824,141.1247,C6H7NO3
C03838,286.1764,C7H15N2O8P
C04281,129.114,C5H7NO3
C04282,129.114,C5H7NO3
C05335,196.1063,C5H11NO2Se
C05680,153.1167,C4H12NO3P
C05747,,C6H11O2SR
C05827,124.1405,C6H8N2O
C06202,122.1213,C7H6O2
C06761,128.1259,C6H8O3
C07030,579.4996,C23H30N7O9P
C07096,163.0014,C6H4Cl2O
C07214,120.1485,C8H8O
C11004,121.1796,C8H11N
C11499,170.1411,C3H6O6S
C12096,757.6682,C36H37O18
C12640,757.6682,C36H37O18
C13637,122.1644,C8H10O
C14418,139.1088,C6H5NO3
C16074,117.1479,C8H7N
C16247,251.9034,C6H4Br2O
C16630,132.0931,C4H5FN2O2
C18250,234.2494,C16H10O2
C20899,124.0942,C6H4O3
C01190,,C25H46NO8R
C04637,,C11H19O19P3R2
C00068,425.3144,C12H19N4O7P2S
C00381,,C20H36O(C5H8)n
C01674,424.4003,C16H28N2O11
C07592,399.437,C22H25NO6
C11783,354.4427,C21H26N2O3
C20506,402.3515,C20H18O9
C04798,253.6418,C10H8ClN3O3
C05897,1717.0469,C87H143N7O23P2
C16263,230.2161,C13H10O4
C18253,222.2387,C15H10O2
C06331,175.184,C10H9NO2
C06332,179.1727,C9H9NO3
C19695,,H2O(C39H64N8O19)n
C20621,1333.6473,C71H118N2O17P2
C03112,373.3816,C14H19N3O7S
C00039,,C10H17O8PR2(C5H8O5PR)n
C02509,515.2632,C13H19N5O13P2
C02592,483.7042,C26H45NO5S
C04851,1673.0374,C86H143N7O21P2
C11435,521.3075,C14H25N3O14P2
C16260,468.6664,C27H48O6
C16428,591.2974,C15H24N5O14P3
C00090,110.1106,C6H6O2
C00300,131.1332,C4H9N3O2
C00346,141.063,C2H8NO4P
C00429,114.1026,C4H6N2O2
C00489,132.1146,C5H8O4
C00530,110.1106,C6H6O2
C00634,,(C14H21NO14S)n
C01108,126.11,C6H6O3
C01110,131.1299,C5H9NO3
C01165,131.1299,C5H9NO3
C01194,,C11H17O13PR2
C01467,108.1378,C7H8O
C01468,108.1378,C7H8O
C01502,124.1372,C7H8O2
C01542,108.1378,C7H8O
C01747,461.6325,C24H47NO7
C01751,110.1106,C6H6O2
C01874,220.0078,C6H5IO
C01880,114.1424,C6H10O2
C02037,132.1179,C4H8N2O3
C02124,128.5563,C6H5ClO
C02389,109.1027,C6H5O2
C02835,126.1133,C5H6N2O2
C03056,111.0987,C5H5NO2
C03248,114.0563,C4H2O4
C03564,113.1146,C5H7NO2
C05220,329.3902,C19H23NO4
C05466,449.6233,C26H43NO5
C05648,252.2234,C11H12N2O5
C05679,139.0902,C3H10NO3P
C06604,291.2606,C10H14NO5PS
C06756,106.165,C8H10
C07111,106.165,C8H10
C07208,106.165,C8H10
C07212,106.165,C8H10
C07733,218.2054,C12H10O4
C09814,103.1213,C7H5N
C14419,162.0166,C6H5Cl2N
C14839,173.0073,C6H5BrO
C19855,1413.6841,C73H122O22P2
C00081,508.1658,C10H15N4O14P3
C01277,,C11H18O16P2R2
C04549,,C11H18O16P2R2
C11301,512.6792,C26H42NO7S
C18002,455.4574,C17H33N3O11
C11809,354.4427,C21H26N2O3
C15658,341.3117,C12H23NO10
C00045,,C2H4NO2R
C00099,89.0932,C3H7NO2
C00134,88.1515,C4H12N2
C00186,90.0779,C3H6O3
C00209,90.0349,C2H2O4
C01013,90.0779,C3H6O3
C02103,,C2H2O2XR
C04145,791.0283,C45H76O7P2
C05653,165.1461,C8H7NO3
C06383,89.0965,C2H7N3O
C12388,1093.1244,C53H72O24
C02496,184.1064,C6H4N2O5
C04368,181.1885,C9H11NO3
C21326,182.1766,C8H10N2O3
C00110,,C20H37O4P(C5H8)n
C01155,462.3621,C15H10O13S2
C01156,462.3621,C15H10O13S2
C03569,202.206,C12H10O3
C04507,1089.4029,C61H102O12P2
C06586,220.6517,C12H9ClO2
C08061,201.2212,C12H11NO2
C20136,535.029,C27H35ClN2O7
C06130,,C57H99N2O32R
C01134,358.3483,C11H23N2O7PS
C04466,,(C10H14NO8R)n
C12144,317.5072,C18H39NO3
C17399,394.4206,C13H18N2O8S2
C20390,1062.3378,C58H97NO12P2
C04884,,C50H86N3O26R
C16429,511.3175,C15H23N5O11P2
C20719,1143.9294,C53H52Cl2N8O17
C21193,,C94H177N2O25P2R
C20497,1347.6309,C71H116N2O18P2
C20749,895.7263,C28H50N8O17P3S
C01289,1130.4548,C63H105NO12P2
C04910,,C45H79N2O23R
C00105,324.1813,C9H13N2O9P
C00146,94.1112,C6H6O
C00155,135.1848,C4H9NO2S
C00334,103.1198,C4H9NO2
C00401,,(C14H21NO11)n
C00556,108.1378,C7H8O
C00576,102.1549,C5H12NO
C00693,,C3H2OSR2
C00719,117.1463,C5H11NO2
C01059,111.0987,C5H5NO2
C01249,223.1822,C10H9NO5
C01272,500.0755,C6H16O18P4
C01273,218.2054,C12H10O4
C01275,220.1782,C11H8O5
C01284,580.0554,C6H17O21P5
C01455,92.1384,C7H8
C01546,112.0835,C5H4O3
C01596,115.0874,C4H5NO3
C02240,100.1158,C5H8O2
C03557,125.0636,C2H8NO3P
C03576,142.1972,C2H6O3S2
C04022,134.1967,C5H10O2S
C04468,212.2439,C14H12O2
C06457,323.2826,C11H22N3O6P
C06580,196.1999,C10H12O4
C06712,180.202,C13H8O
C11036,157.0079,C6H5Br
C14315,178.2292,C14H10
C16212,188.1794,C11H8O3
C16258,394.5879,C24H42O4
C16365,226.1894,C8H10N4O4
C01424,170.1195,C7H6O5
C01526,164.1613,C8H8N2O2
C01571,172.2646,C10H20O2
C02858,,C6H11N2O3R
C19845,,C7H11O3SR
C05752,,C8H15OSR
C00053,507.2643,C10H15N5O13P2S
C00286,507.181,C10H16N5O13P3
C05686,474.1794,C10H14N5O10PSe
C07394,853.9061,C47H51NO14
C16616,444.2515,C10H14N4O10P2S
C00918,323.1294,C11H12Cl2N2O5
C02945,276.4568,C19H32O
C03692,,C11H16O10R2
C03885,751.1739,C52H78O3
C04858,564.4921,C26H28O14
C09826,272.2528,C15H12O5
C04615,,C42H74N2O22P2(C5H8)n
C11469,1368.348,C55H74IN3O21S4
C04877,1051.79,C35H55N7O26P2
C06138,,C78H130N5O47R
C06139,,C89H147N6O55R
C12387,832.8408,C41H52O18
C00131,491.1816,C10H16N5O12P3
C00616,382.2989,C15H10O10S
C01242,,C9H19N2OS2R
C01344,412.1865,C10H14N4O10P2
C05616,184.1461,C8H8O5
C06584,188.6529,C12H9Cl
C07715,166.2185,C13H10
C11038,417.203,C10H17N3O11P2
C12623,180.1574,C9H8O4
C14091,172.18,C11H8O2
C16290,637.4766,C27H25O18
C19789,183.1183,C7H5NO5
C05951,496.6599,C25H40N2O6S
C00958,,C11H21NO7PR2
C02737,,C8H12NO10PR2
C03373,295.1864,C8H14N3O7P
C04606,334.41,C16H14O4S2
C06333,173.1897,C6H7NO3S
C08888,1225.3236,C57H92O28
C12643,535.431,C24H23O14
C17552,,C12H16O2(C5H8)n
C20436,298.3795,C18H22N2O2
C00363,402.1884,C10H16N2O11P2
C05837,448.468,C16H20N2O9S2
C16445,433.3535,C15H24N5O8P
C17254,477.6136,C16H31NO9S3
C01794,1158.0902,C45H74N7O20P3S
C03019,434.5226,C24H34O7
C00160,76.0514,C2H4O3
C00511,72.0627,C3H4O2
C00986,74.1249,C3H10N2
C06108,78.0424,C2H3FO2
C06133,,C53H90N3O29R
C06609,110.9699,C3H4Cl2
C12642,519.4316,C24H23O13
C01936,990.8589,C36H62O31
C00213,89.0932,C3H7NO2
C00344,,C8H13O10PR2
C00370,248.4036,C17H28O
C00448,382.3261,C15H28O7P2
C00460,468.1417,C9H15N2O14P3
C00692,879.6082,C28H43N5O23P2
C00747,79.0999,C5H5N
C00831,278.3684,C11H22N2O4S
C00854,100.1589,C6H12O
C01243,420.0956,C6H15O15P3
C03173,106.1435,C3H6O2S
C06318,200.1455,C8H8O6
C06456,126.0053,CH3O5P
C06578,164.2011,C10H12O2
C06588,154.2078,C12H10
C06674,190.1738,C6H6O5S
C11150,163.3871,C2HCl3O2
C16395,197.1482,C7H7N3O4
C17252,463.5871,C15H29NO9S3
C18240,247.8909,C6H2Cl4O2
C18796,99.1311,C5H9NO
C19491,101.1469,C5H11NO
C19968,363.2206,C10H14N5O8P
C20713,1109.2945,C54H92O23
C21291,88.1051,C4H8O2
C04146,722.9112,C40H68O7P2
C05337,1142.0908,C45H74N7O19P3S
C01748,210.2313,C13H10N2O
C06131,,C51H89N2O27R
C00104,428.1859,C10H14N4O11P2
C00361,427.2011,C10H15N5O10P2
C00689,422.2764,C12H23O14P
C01083,342.2965,C12H22O11
C02247,886.6548,C28H41N8O17P3S
C03077,170.593,C8H7ClO2
C05322,371.4269,C21H25NO5
C08426,425.4314,C14H19NO10S2
C17700,335.3502,C14H25NO8
C04800,,C41H63N3O34R2
C20421,1155.5073,C65H108N2O11P2
C04317,,C8H20NO6PR
C12413,844.8945,C43H56O17
C18252,266.2482,C16H10O4
C04537,,C36H64N2O17P2(C5H8)n
C21340,1050.97,C40H47IN2O15S4
C08983,943.1221,C48H78O18
C04927,,C67H113N4O39R
C06140,,C78H130N5O47R
C01310,379.3166,C14H21NO11
C12457,236.2637,C13H16O4
C21442,224.2148,C13H8N2O2
C00206,411.2017,C10H15N5O9P2
C01069,329.3688,C14H19NO6S
C03997,337.2231,C10H16N3O8P
C05299,300.3921,C19H24O3
C05302,302.4079,C19H26O3
C05623,464.3763,C21H20O12
C10073,464.3763,C21H20O12
C11006,182.1335,C7H6N2O4
C14098,142.1971,C11H10
C17698,321.3236,C13H23NO8
C18302,193.0273,C7H6Cl2O2
C00876,773.5926,C29H36N5O18P
C02135,1046.1786,C50H71N13O12
C02347,,C6H12O6(C36H61O33P)n
C04845,,C39H69N2O18R
C06135,,C39H69N2O18R
C11974,760.9504,C42H64O12
C12408,600.6103,C31H36O12
C00670,258.2292,C8H21NO6P
C03783,259.151,C6H14NO8P
C04635,,C7H15NO6PR
C05376,446.4041,C22H22O10
C05539,231.2026,C9H13NO6
C10538,446.4041,C22H22O10
C16195,446.4041,C22H22O10
C20912,276.2432,C10H16N2O7
C08907,1049.1995,C51H84O22
C11958,746.9238,C41H62O12
C11973,746.9238,C41H62O12
C11982,742.9351,C42H62O11
C00055,323.1965,C9H14N3O8P
C00319,299.4919,C18H37NO2
C00591,,C10H16NO9R
C03495,321.2237,C10H16N3O7P
C03998,378.2551,C11H17N5O8P
C04079,322.3779,C12H22N2O6S
C08409,421.5073,C12H23NO9S3
C16488,308.3282,C12H24N2O7
C19561,272.3404,C20H16O
C19886,,C11H17N2O7R
C20825,,C10H16O12SR2
C02400,888.0469,C44H73NO17
C11957,732.8972,C40H60O12
C11966,728.9085,C41H60O11
C11981,728.9085,C41H60O11
C04608,432.3775,C21H20O10
C08589,976.9646,C44H64O24
C09126,432.3775,C21H20O10
C10509,430.4047,C22H22O9
C12137,433.3854,C21H21O10
C16223,432.4206,C22H24O9
C00013,177.9751,H4P2O7
C01180,148.1802,C5H8O3S
C07054,137.1393,C6H7N3O
C07086,136.1479,C8H8O2
C11965,714.8819,C40H58O11
C03272,,C45H79N2O23R
C04516,788.5729,C34H28O22
C04922,,C45H79N2O23R
C16313,789.667,C36H37O20
C00059,98.0785,H2SO4
C00347,,C3H5O2R
C00365,308.1819,C9H13N2O8P
C00555,87.1204,C4H9NO
C00655,364.2054,C10H13N4O9P
C01220,340.1157,C6H14O12P2
C02359,140.1118,C7H5FO2
C02364,140.1118,C7H5FO2
C02420,69.1051,C4H7N
C02713,293.2705,C11H19NO8
C02933,179.0008,C6H4Cl2O2
C02970,779.1654,C50H83O4P
C04076,145.1564,C6H11NO3
C04485,276.3739,C14H12O2S2
C04778,358.2836,C14H19N2O7P
C06144,84.0734,C4H4O2
C06640,281.134,C14H10Cl2O2
C06720,170.1626,C8H10O4
C06731,170.1626,C8H10O4
C06789,165.8334,C2Cl4
C06790,131.3883,C2HCl3
C07085,136.1479,C8H8O2
C07094,179.0008,C6H4Cl2O2
C08412,407.4807,C11H21NO9S3
C10216,416.3781,C21H20O9
C14858,112.9427,C2H2Cl2O
C16397,167.1653,C7H9N3O2
C16673,146.1445,C5H10N2O3
C17231,278.3651,C12H22O5S
C18236,215.8921,C6H2Cl4
C18317,140.1366,C7H8O3
C19872,166.1805,C7H10N4O
C20948,,C10H15N2O7R
C04509,859.1453,C50H84O7P2
C12635,772.6581,C33H40O21
C20472,,C36H35O16R2
C03502,400.3787,C21H20O8
C04385,486.4249,C24H22O11
C12385,674.6458,C33H38O15
C05625,610.5175,C27H30O16
C00330,267.2413,C10H13N5O4
C02453,256.3826,C18H24O
C04332,326.3052,C13H18N4O6
C04730,,C42H73N2O21R
C08612,743.6401,C32H39O20
C00865,,C5H6O8PR3
C01997,,C9H15N3O3R2
C04475,,C6H12NO7PR2
C06657,244.2477,C9H16N4O4
C17227,264.3385,C11H20O5S
C00033,60.052,C2H4O2
C00040,,C22H35N7O17P3SR
C00060,,CO2R
C00189,61.0831,C2H7NO
C01092,187.2362,C9H17NO3
C06752,98.9592,C2H4Cl2
C01585,116.1583,C6H12O2
C04911,,C56H96N3O31R
C12405,566.5957,C31H34O10
C16193,288.2969,C10H8O6S2
C16194,288.2969,C10H8O6S2
C16303,875.7116,C36H43O25
C01230,586.6772,C30H52O7P2
C00119,390.0696,C5H13O14P3
C00360,331.2218,C10H14N5O6P
C00447,370.1417,C7H16O13P2
C00633,122.1213,C7H6O2
C01185,336.2119,C11H15NO9P
C01736,252.2267,C10H12N4O4
C02375,144.5557,C6H5ClO2
C02739,719.2755,C15H25N5O20P4
C04437,338.2079,C10H15N2O9P
C06594,181.447,C6H3Cl3
C06730,124.1372,C7H8O2
C07836,290.1618,C7H15O10P
C07838,290.1618,C7H15O10P
C11516,348.1978,C9H17O12P
C14401,122.1677,C7H10N2
C16472,128.1011,C6H5FO2
C18300,161.0285,C7H6Cl2
C20669,143.5709,C6H6ClNO
C20934,268.2179,C9H16O9
C06552,197.2376,C8H15N5O
C11972,616.782,C35H52O9
C00416,,C5H7O8PR2
C00602,,C6H11O6R
C01233,215.1415,C5H14NO6P
C02972,,C8H16NOS2R
C03081,176.1687,C10H8O3
C03922,,C6H12N2O3R2
C04535,184.1892,C9H12O4
C04756,,C8H14NO7PR2
C05638,180.2038,C9H12N2O2
C06742,234.271,C12H10O3S
C12384,544.504,C27H28O12
C15646,,C5H10O6PR
C16589,188.1779,C8H12O5
C17223,250.3119,C10H18O5S
C20327,178.1846,C10H10O3
C20913,234.2066,C8H14N2O6
C20918,188.1812,C7H12N2O4
C21762,176.2151,C10H12N2O
C11956,602.7554,C34H50O9
C11980,598.7667,C35H50O8
C00214,242.2286,C10H14N2O5
C00475,243.2166,C9H13N3O5
C00585,,C10H10N2O3R2
C01168,324.1813,C9H13N2O9P
C01726,270.1803,C6H15N4O6P
C04628,343.3336,C11H22NO7PS
C04641,334.2143,C9H19O11P
C17585,555.5765,C21H41N5O12
C11964,584.7401,C34H48O8
C01290,,C31H56NO13R
C04276,,C12H21O10(C12H20O11)n
C17513,814.824,C38H54O19
C01810,,H2O(C24H40O20)n
C02013,666.5777,C24H42O21
C19763,634.8403,C36H58O9
C21117,661.9599,C40H63N5O3
C00165,,C5H6O5R2
C00327,175.1857,C6H13N3O3
C00354,340.1157,C6H14O12P2
C00565,59.1103,C3H9N
C00596,114.0993,C5H6O3
C00645,221.2078,C8H15NO6
C00663,260.1358,C6H13O9P
C00665,340.1157,C6H14O12P2
C00722,,C2H2OR2
C00804,70.0468,C3H2O2
C01187,238.192,C8H14O8
C01478,141.943,H3AsO4
C01659,71.0779,C3H5NO
C01875,170.2918,C11H22O
C04052,216.1449,C8H8O7
C05217,,C3H7O6PR2
C05684,126.9582,SeO3
C06142,74.1216,C4H10O
C06561,272.2528,C15H12O5
C06672,168.1467,C8H8O4
C06754,78.4976,C2H3ClO
C07083,104.1491,C8H8
C07092,147.002,C6H4Cl2
C07295,123.9708,CH5AsO2
C11142,94.1328,C2H6O2S
C12667,626.5169,C27H30O17
C14039,96.9433,C2H2Cl2
C15561,135.1632,C8H9NO
C16312,627.5248,C27H31O17
C16588,174.1513,C7H10O5
C17219,236.2853,C9H16O5S
C17259,,C7H12NO6SR
C17699,213.1873,C9H11NO5
C19887,,C11H18N2O10PR
C20854,338.4385,C19H30O5
C21205,256.1471,C7H13O8P
C21385,226.2689,C12H18O4
C08537,726.593,C30H34N2O19
C06509,1320.3013,C58H85CoN16O14P
C08639,611.5254,C27H31O16
C12095,595.5276,C30H27O13
C12634,610.5175,C27H30O16
C20138,621.1182,C31H41ClN2O9
C04216,654.7942,C35H60O7P2
C04903,,C27H42N2O23R2
C04491,630.979,C27H31O15.
